max iter: 1000 size: 100
"5" 5 57 351 532 23
"6" 0 5 59 63 44
"7" 0 0 0 2 1
----- l = 0.98
"2" "3" "4" "5" "6"
"1" 0 14 10 1 1
"2" 28 107 56 3 1
"3" 1 1359 516 33 4
"4" 8 366 2028 132 7
"5" 0 48 476 431 13
"6" 0 2 86 49 34
"7" 0 0 0 3 0
----- l = 0.99
"2" "3" "4" "5" "6"
"1" 4 13 8 1 0
"2" 35 113 41 6 0
"3" 6 1605 238 61 3
"4" 5 838 1366 326 6
"5" 1 113 205 645 4
"6" 0 17 42 85 27
"7" 0 0 0 2 1
----- l = 1
"1" "2" "3" "4" "5" "6"
"1" 1 1 15 7 2 0
"2" 2 31 111 45 5 1
"3" 1 6 1409 450 46 1
"4" 3 6 489 1724 317 2
"5" 0 1 50 318 596 3
"6" 0 0 2 58 79 32
"7" 0 0 0 0 3 0
