max iter: 1000 size: 100
----- l = 0.01
"2" "3" "4" "5" "6"
"4" 6 239 1539 187 0
"5" 2 23 239 520 0
"6" 0 5 47 79 25
"7" 0 0 0 3 0
----- l = 0.61
"2" "3" "4" "5" "6"
"1" 1 6 7 0 2
"2" 45 62 34 1 2
"3" 11 985 298 14 5
"4" 4 262 1594 104 7
"5" 0 43 320 411 10
"6" 0 4 66 45 41
"7" 0 0 1 1 1
----- l = 0.62
"2" "3" "4" "5" "6"
"1" 1 11 4 0 0
"2" 56 69 19 0 0
"3" 4 1072 216 18 3
"4" 9 380 1412 166 4
"5" 1 87 240 450 6
"6" 0 15 50 65 26
"7" 0 0 1 2 0
----- l = 0.63
"2" "3" "4" "5" "6"
"1" 3 8 4 1 0
"2" 57 66 19 2 0
"3" 13 1032 245 21 2
"4" 13 415 1406 127 10
"5" 3 50 240 481 10
"6" 0 5 54 49 48
"7" 0 0 0 3 0
----- l = 0.64
"2" "3" "4" "5" "6"
"1" 0 7 8 1 0
"2" 53 46 45 0 0
"3" 5 889 400 19 0
"4" 6 207 1666 92 0
"5" 0 25 384 374 1
"6" 0 0 87 38 31
"7" 0 0 1 1 1
----- l = 0.65
"2" "3" "4" "5" "6"
"1" 2 8 5 1 0
"2" 46 52 44 2 0
"3" 9 943 337 20 4
"4" 5 209 1574 181 2
"5" 0 23 259 498 4
"6" 1 7 50 58 40
"7" 0 0 0 3 0
----- l = 0.66
"2" "3" "4" "5" "6"
"1" 0 9 7 0 0
"2" 35 66 39 4 0
"3" 3 921 366 22 1
"4" 2 243 1647 76 3
"5" 0 27 369 386 2
"6" 0 3 75 56 22
"7" 0 0 1 2 0
----- l = 0.67
"2" "3" "4" "5" "6"
"1" 1 7 6 2 0
"2" 47 42 49 5 1
"3" 8 741 533 30 1
"4" 8 120 1737 105 1
"5" 0 10 347 425 2
"6" 0 0 82 55 19
"7" 0 0 2 1 0
----- l = 0.68
"2" "3" "4" "5" "6"
"1" 1 7 6 2 0
"2" 50 57 36 1 0
"3" 12 897 380 22 2
"4" 4 220 1669 77 1
"5" 0 21 329 433 1
"6" 0 4 87 36 29
"7" 0 0 1 1 1
----- l = 0.69
"2" "3" "4" "5" "6"
"1" 2 5 7 2 0
"2" 40 71 29 4 0
"3" 3 981 296 32 1
"4" 3 253 1588 126 1
"5" 0 27 260 493 4
"6" 0 1 64 54 37
"7" 0 0 1 1 1
----- l = 0.7
"2" "3" "4" "5" "6"
"1" 0 8 6 2 0
"2" 42 53 47 2 0
"3" 3 946 348 14 2
"4" 0 214 1668 83 6
"5" 0 15 385 379 5
"6" 0 0 80 35 41
"7" 0 0 1 2 0
----- l = 0.71
"2" "3" "4" "5" "6"
"1" 2 6 7 1 0
"2" 53 44 43 4 0
"3" 18 950 313 29 3
"4" 9 218 1624 119 1
"5" 0 22 310 451 1
"6" 0 4 63 42 47
"7" 0 0 1 2 0
----- l = 0.72
"2" "3" "4" "5" "6"
"1" 1 8 6 1 0
"2" 54 40 44 6 0
"3" 8 844 444 16 1
"4" 7 170 1717 76 1
"5" 1 15 347 413 8
"6" 1 1 72 38 44
"7" 0 0 1 1 1
----- l = 0.73
"2" "3" "4" "5" "6"
"1" 0 9 7 0 0
"2" 46 59 37 2 0
"3" 4 886 407 13 3
"4" 4 188 1695 81 3
"5" 0 18 372 393 1
"6" 0 2 72 53 29
"7" 0 0 1 2 0
----- l = 0.74
"2" "3" "4" "5" "6"
"1" 2 6 6 1 1
"2" 56 46 39 3 0
"3" 9 938 331 34 1
"4" 8 238 1562 162 1
"5" 0 34 275 464 11
"6" 0 2 53 65 36
"7" 0 0 1 1 1
----- l = 0.75
"2" "3" "4" "5" "6"
"1" 0 6 9 0 1
"2" 52 56 34 1 1
"3" 8 983 288 33 1
"4" 3 261 1578 126 3
"5" 2 28 297 441 16
"6" 0 4 55 45 52
"7" 0 0 1 1 1
----- l = 0.76
"2" "3" "4" "5" "6"
"1" 2 8 5 1 0
"2" 65 41 32 4 2
"3" 34 841 401 34 3
"4" 19 175 1599 166 12
"5" 3 18 269 489 5
"6" 2 2 51 60 41
"7" 0 0 1 1 1
----- l = 0.77
"2" "3" "4" "5" "6"
"1" 2 6 6 2 0
"2" 55 47 41 1 0
"3" 12 863 416 22 0
"4" 7 168 1705 89 2
"5" 0 19 340 423 2
"6" 0 5 77 45 29
"7" 0 0 1 2 0
----- l = 0.78
"2" "3" "4" "5" "6"
"1" 1 5 10 0 0
"2" 45 55 44 0 0
"3" 8 995 288 19 3
"4" 1 298 1543 116 13
"5" 0 39 256 487 2
"6" 0 7 66 42 41
"7" 0 0 0 1 2
----- l = 0.79
"2" "3" "4" "5" "6"
"1" 0 6 10 0 0
"2" 43 35 64 2 0
"3" 4 765 530 11 3
"4" 0 139 1776 52 4
"5" 0 15 419 343 7
"6" 0 1 93 32 30
"7" 0 0 2 1 0
----- l = 0.8
"2" "3" "4" "5" "6"
"1" 1 11 3 0 1
"2" 64 48 25 7 0
"3" 16 988 206 100 3
"4" 12 306 1215 433 5
"5" 1 32 120 626 5
"6" 0 7 20 95 34
"7" 0 0 0 2 1
----- l = 0.81
"2" "3" "4" "5" "6"
"1" 0 8 8 0 0
"2" 53 53 32 6 0
"3" 13 936 326 38 0
"4" 5 264 1436 258 8
"5" 1 28 208 542 5
"6" 0 0 54 66 36
"7" 0 0 0 2 1
----- l = 0.82
"2" "3" "4" "5" "6"
"1" 1 7 4 4 0
"2" 54 59 24 5 2
"3" 12 990 244 63 4
"4" 6 272 1371 315 7
"5" 1 34 134 606 9
"6" 0 5 33 93 25
"7" 0 0 0 3 0
----- l = 0.83
"2" "3" "4" "5" "6"
"1" 0 9 6 1 0
"2" 56 58 27 3 0
"3" 5 945 306 55 2
"4" 7 245 1445 272 2
"5" 1 30 186 567 0
"6" 1 2 42 83 28
"7" 0 0 0 2 1
----- l = 0.84
"2" "3" "4" "5" "6"
"1" 1 9 6 0 0
