max iter: 1000 size: 100
"5" 0 0 11 33 140 0
"6" 0 0 0 1 8 6
----- l = 0.92
"1" "2" "3" "4" "5" "6"
"1" 4 0 3 3 0 0
"2" 0 19 13 18 1 0
"3" 0 4 480 112 4 0
"4" 0 4 31 517 18 0
"5" 0 0 7 41 136 0
"6" 0 0 0 6 3 6
----- l = 0.93
"1" "2" "3" "4" "5" "6"
"1" 4 0 3 2 1 0
"2" 0 17 20 13 1 0
"3" 0 3 521 68 7 1
"4" 0 1 60 490 19 0
"5" 0 0 13 34 137 0
"6" 0 0 2 1 7 5
----- l = 0.94
"1" "2" "3" "4" "5" "6"
"1" 6 1 2 1 0 0
"2" 0 22 11 17 1 0
"3" 0 2 507 90 1 0
"4" 0 1 37 523 9 0
"5" 0 0 7 26 149 2
"6" 0 0 2 1 3 9
----- l = 0.95
"1" "2" "3" "4" "5" "6"
"1" 2 3 5 0 0 0
"2" 0 18 21 10 2 0
"3" 0 2 516 75 7 0
"4" 0 2 70 489 9 0
"5" 0 0 9 40 135 0
"6" 0 0 0 4 2 9
----- l = 0.96
"1" "2" "3" "4" "5" "6"
"1" 5 1 3 1 0 0
"2" 0 12 23 16 0 0
"3" 0 0 519 74 7 0
"4" 0 0 55 495 20 0
"5" 0 0 10 31 143 0
"6" 0 0 0 4 7 4
----- l = 0.97
"1" "2" "3" "4" "5" "6"
"1" 4 2 3 1 0 0
"2" 0 16 15 19 1 0
"3" 0 0 533 63 4 0
"4" 0 1 49 499 21 0
"5" 0 0 8 54 122 0
"6" 0 0 0 5 6 4
----- l = 0.98
"1" "2" "3" "4" "5" "6"
"1" 5 2 1 2 0 0
"2" 0 15 20 12 4 0
"3" 1 0 537 50 11 1
"4" 1 0 63 489 16 1
"5" 0 0 14 25 145 0
"6" 0 0 0 4 5 6
----- l = 0.99
"1" "2" "3" "4" "5" "6"
"1" 4 0 5 1 0 0
"2" 0 15 21 15 0 0
"3" 2 0 536 56 6 0
"4" 0 0 83 474 13 0
"5" 0 0 9 28 147 0
"6" 0 0 2 5 4 4
----- l = 1
"1" "2" "3" "4" "5" "6"
"1" 7 0 2 1 0 0
"2" 0 18 16 14 3 0
"3" 0 1 513 80 5 1
"4" 1 1 52 502 14 0
"5" 0 0 7 45 129 3
"6" 0 0 0 3 6 6
